2025-04-22 21:40:23 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:40:24 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-22 21:40:24 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-22 21:40:25 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-22 21:40:26 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:40:27 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-22 21:40:40 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-22 21:40:41 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:40:45 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 21:40:46 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 21:42:21 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:42:21 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-22 21:42:21 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-22 21:42:22 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-22 21:42:23 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:42:24 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-22 21:42:36 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-22 21:42:37 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:42:40 | INFO | root | [test_login_ddt.py:33] - Test_0012_DDT_Login
2025-04-22 21:42:41 | INFO | root | [test_login_ddt.py:34] - Verifying Login test
2025-04-22 21:44:21 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:44:22 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-22 21:44:22 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-22 21:44:23 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-22 21:44:24 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-22 21:44:25 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-22 21:44:37 | INFO | root | [test_login.py:47] - Login test is passed
